metric,unit,p5,p25,median,p75,p95,mean
Total SV 2C,USD M,51345.42749999999,56592.81500000002,61114.985,66331.09749999999,73472.55649999999,61653.383985
Total SV 1.5C,USD M,84835.60450000002,93415.10999999997,100795.64500000002,109323.55500000001,120978.02800000003,101672.247222
Total Expected SV,USD M,34003.62359320628,45938.73217955901,54888.31501892236,63973.81594241041,77841.48897085401,55171.757707731726
Total NPV BAU,USD M,134410.16,140254.08,146098.0,151941.92,157785.84,146098.0
Total NPV 2C,USD M,78996.72,82431.36,85866.0,89300.64,92735.28,85866.0
Total NPV 1.5C,USD M,42988.840000000004,44857.92,46727.0,48596.08,50465.16,46727.0
