bank_ticker,scenario,size_category,direct_loss,indirect_loss,total_loss,ckpn_buffer,loss_after_ckpn,indirect_mining_exposure,total_equity_usd_m,total_assets_usd_m,gross_loans_usd_m,mining_loans_usd_m,net_income_usd_m,rwa,CAR_before,CAR_after,CAR_impact,CAR_impact_after_ckpn,CAR_after_with_ckpn,car_source,ROA_before,ROA_after,ROA_impact,car_breach_ojk,car_breach_dsib,profit_impact_pct,loss_pct_equity
BMRI,BAU,DSIB,8.500376072532104,19.66481618397152,28.165192256503623,344.1092375423189,0.0,8739.918303987342,20721.64544303797,179110.63455696203,119672.85797468356,9948.482848101266,3882.666645569621,184112.08919182085,0.201,0.20084702149445952,0.00015297850554049798,0.0,0.201,annual_report_2024,0.0233380765584064,0.02152022666240558,0.0018178498960008185,False,False,0.7254084583501901,0.13592160108099197
BMRI,2C,DSIB,737.8556142475534,196.64816183971521,934.5037760872685,344.1092375423189,590.3945385449497,8739.918303987342,20721.64544303797,179110.63455696203,119672.85797468356,9948.482848101266,3882.666645569621,184112.08919182085,0.201,0.195924267166869,0.005075732833131002,0.0032067125039781357,0.19779328749602187,annual_report_2024,0.0233380765584064,0.016460010187417187,0.006878066370989214,False,False,24.06860700115986,4.509795221890749
BMRI,1.5C,DSIB,1055.321118739637,589.9444855191456,1645.2656042587828,344.1092375423189,1301.156366716464,8739.918303987342,20721.64544303797,179110.63455696203,119672.85797468356,9948.482848101266,3882.666645569621,184112.08919182085,0.201,0.1920637828755252,0.008936217124474809,0.007067196795321942,0.19393280320467807,annual_report_2024,0.0233380765584064,0.012491726394946605,0.010846350163459795,False,False,42.374629460815015,7.939840534292883
BBNI,BAU,DSIB,0.0,0.0,0.0,163.70410400934034,0.0,0.0,11160.719493670886,86205.99563291139,56932.32221518987,0.0,,87588.18802336903,0.211,0.211,0.0,0.0,0.211,annual_report_2024,,0.0,,False,False,,0.0
BBNI,2C,DSIB,223.67642129293122,0.0,223.67642129293122,163.70410400934034,59.97231728359088,0.0,11160.719493670886,86205.99563291139,56932.32221518987,0.0,,87588.18802336903,0.211,0.20844627185079734,0.0025537281492026423,0.0006847078200497757,0.2103152921799502,annual_report_2024,,-0.0025946736030450406,,False,False,,2.0041397995870742
BBNI,1.5C,DSIB,359.97816694405685,0.0,359.97816694405685,163.70410400934034,196.2740629347165,0.0,11160.719493670886,86205.99563291139,56932.32221518987,0.0,,87588.18802336903,0.211,0.2068901060169436,0.004109893983056398,0.0022408736539035316,0.20875912634609647,annual_report_2024,,-0.004175790376309114,,False,False,,3.225402870739617
BBCA,BAU,DSIB,0.003212140536458581,2.7987616702312974,2.801973810767756,165.81134890529597,0.0,1243.8940756583543,16635.132088607596,91727.93215189873,57665.170949367086,1684.8472151898734,3471.5996202531646,88715.6476144109,0.289,0.288968416239005,3.1583760994972494e-05,0.0,0.289,lseg_tier1,0.038392324450479,0.037816154415191344,0.0005761700352876556,False,False,0.080711318045467,0.01684371242646555
BBCA,2C,DSIB,39.098037546637194,27.987616702312973,67.08565424895016,165.81134890529597,0.0,1243.8940756583543,16635.132088607596,91727.93215189873,57665.170949367086,1684.8472151898734,3471.5996202531646,88715.6476144109,0.289,0.2882438126074384,0.0007561873925615442,0.0,0.289,lseg_tier1,0.038392324450479,0.037115346286956966,0.0012769781635220342,False,False,1.932413342183105,0.40327695561187105
BBCA,1.5C,DSIB,61.03314688940795,83.96285010693892,144.99599699634686,165.81134890529597,0.0,1243.8940756583543,16635.132088607596,91727.93215189873,57665.170949367086,1684.8472151898734,3471.5996202531646,88715.6476144109,0.289,0.2873656096653146,0.0016343903346853754,0.0,0.289,lseg_tier1,0.038392324450479,0.03626598294779022,0.0021263415026887764,False,False,4.176633623026295,0.8716251618804153
BBRI,BAU,DSIB,0.6755592973923193,0.0,0.6755592973923193,263.3305063291139,0.0,0.0,20455.002974683543,126138.19284810127,82172.0309493671,,3838.215696202532,126418.50915287244,0.266,0.26599465616781975,5.343832180265586e-06,0.0,0.266,annual_report_2024,0.0306437361850176,0.030423300431506897,0.00022043575351070321,False,False,0.017600868498888866,0.0033026604700494835
BBRI,2C,DSIB,249.14853485066513,0.0,249.14853485066513,263.3305063291139,0.0,0.0,20455.002974683543,126138.19284810127,82172.0309493671,,3838.215696202532,126418.50915287244,0.266,0.2640291767675461,0.001970823232453885,0.0,0.266,annual_report_2024,0.0306437361850176,0.028453453155729842,0.0021902830292877574,False,False,6.491259339519888,1.2180322591936446
BBRI,1.5C,DSIB,393.65390969900534,0.0,393.65390969900534,263.3305063291139,130.32340336989142,0.0,20455.002974683543,126138.19284810127,82172.0309493671,,3838.215696202532,126418.50915287244,0.266,0.2628861054260419,0.003113894573958127,0.0010308886273314374,0.2649691113726686,annual_report_2024,0.0306437361850176,0.02730784157223144,0.003335894612786161,False,False,10.25616955525663,1.9244871789371887
BNLI,BAU,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,equity_rwa_proxy,,,,False,False,,
BNLI,2C,,301.60042148414027,0.0,301.60042148414027,0.0,301.60042148414027,0.0,,,,,,,,,,,,equity_rwa_proxy,,,,False,False,,
BNLI,1.5C,,451.2455205937083,0.0,451.2455205937083,0.0,451.2455205937083,0.0,,,,,,,,,,,,equity_rwa_proxy,,,,False,False,,
BRIS,BAU,DSIB,0.0,0.2748381425601266,0.2748381425601266,54.06677931115033,0.0,122.15028558227849,3288.156582278481,28872.94974683544,18803.116265822784,146.22512658227848,,28927.871178188896,0.215,0.21499049919225416,9.500807745830592e-06,0.0,0.215,lseg_tier1,,-9.518879954073613e-06,,False,False,,0.008358426239229808
BRIS,2C,DSIB,0.0,2.7483814256012664,2.7483814256012664,54.06677931115033,0.0,122.15028558227849,3288.156582278481,28872.94974683544,18803.116265822784,146.22512658227848,,28927.871178188896,0.215,0.2149049919225417,9.500807745830593e-05,0.0,0.215,lseg_tier1,,-9.518879954073612e-05,,False,False,,0.08358426239229808
