metric,unit,p5,p25,median,p75,p95,mean
Total NPV BAU,USD M,152159.13873017207,162320.57927710155,169681.97944746417,177196.55789371787,188586.1754539474,169903.10775288616
Total NPV 2C,USD M,81523.988361503,89170.24579948626,94728.25888226283,100129.64209107982,108594.68765426059,94789.0990402937
Total NPV 1.5C,USD M,36872.27129279627,44160.518450826436,49106.81599831811,54004.96481452933,61439.83610632023,49091.9999719284
Total SV 2C,USD M,67841.24069856384,71875.69547199692,74909.19672077525,78150.29371437771,83095.69746839865,75114.00871259248
Total SV 1.5C,USD M,109375.95386892937,115765.60845341969,120503.34414666443,125577.63650733183,133231.8642968503,120811.10778095774
Total Expected SV,USD M,55554.280829186166,61637.945312314114,66107.6500844786,70574.14806470904,77695.57647200293,66271.8292684082
